Time,M1_RR,M2_RL,M3_FR,M4_FL,V_Batt,Pitch,Roll,Altitude
0,236,236,232,234,10.065,0,0,0
0.01,174.5556,178.2222,174,171.8889,10.0638,0,0,0.2669
0.02,180.7778,185.1111,181,178.4444,10.0638,0,0,0.2722
0.03,187,192,188,185,10.0638,0,0,0.2722
0.04,187,192,188,184,10.0637,-0.0602,0.3895,0.2722
0.05,187.3333,191.7778,187.7778,184.2222,10.0637,-0.0582,0.3922,0.2722
0.06,187.6667,191.5556,187.5556,184.4444,10.0636,-0.0558,0.3961,0.2722
0.07,188,191.3333,187.3333,184.6667,10.0636,-0.0526,0.4015,0.2722
0.08,188.3333,191.1111,187.1111,184.8889,10.0636,-0.0494,0.4075,0.2722
0.09,188.6667,190.8889,186.8889,185.1111,10.0635,-0.0462,0.414,0.2722
0.1,189,190.6667,186.6667,185.3333,10.0635,-0.043,0.4211,0.2722
0.11,189.3333,190.4444,186.4444,185.5556,10.0635,-0.04,0.4286,0.2722
0.12,189.6667,190.2222,186.2222,185.7778,10.0634,-0.0372,0.4365,0.2722
0.13,187.6667,191.5556,187.5556,184.4444,10.0633,-0.0348,0.4447,0.2722
0.14,188,191.3333,187.3333,184.6667,10.0633,-0.0327,0.4531,0.2722
0.15,188.3333,191.1111,187.1111,184.8889,10.0632,-0.0311,0.4617,0.2722
0.16,188.6667,190.8889,186.8889,185.1111,10.0632,-0.0301,0.4703,0.2722
0.17,189,190.6667,186.6667,185.3333,10.0631,-0.0291,0.4795,0.2722
0.18,189.3333,190.4444,186.4444,185.5556,10.063,-0.0283,0.4891,0.2722
0.19,189.6667,190.2222,186.2222,185.7778,10.063,-0.0278,0.4991,0.2722
0.2,190,190,186,186,10.0629,-0.0275,0.5094,0.2722
0.21,125,131,128,120,10.0628,-0.0276,0.5199,0.2722
0.22,137.3333,142.6667,139.7778,132.5556,10.0628,-0.0282,0.5306,0.2722
0.23,149.6667,154.3333,151.5556,145.1111,10.0628,-0.0294,0.5413,0.2722
0.24,162,166,163.3333,157.6667,10.0628,-0.0312,0.5521,0.2722
0.25,174.3333,177.6667,175.1111,170.2222,10.0628,-0.0345,0.5617,0.2722
0.26,186.6667,189.3333,186.8889,182.7778,10.0628,-0.039,0.5702,0.2669
0.27,199,201,198.6667,195.3333,10.0627,-0.0444,0.5776,0.2669
0.28,211.3333,212.6667,210.4444,207.8889,10.0627,-0.0502,0.5839,0.2669
0.29,223.6667,224.3333,222.2222,220.4444,10.0627,-0.056,0.5891,0.2669
0.3,236,236,234,233,10.0627,-0.0613,0.5931,0.2669
0.31,131,125,120,126,10.0618,-0.0655,0.5963,0.2669
0.32,137.6667,131.6667,126.7778,132.7778,10.0618,-0.068,0.5984,0.2669
0.33,144.3333,138.3333,133.5556,139.5556,10.0618,-0.0682,0.5996,0.2669
0.34,151,145,140.3333,146.3333,10.0618,-0.0653,0.5999,0.2669
0.35,157.6667,151.6667,147.1111,153.1111,10.0618,-0.0652,0.6003,0.2669
0.36,164.3333,158.3333,153.8889,159.8889,10.0618,-0.0675,0.6006,0.2669
0.37,171,165,160.6667,166.6667,10.0618,-0.0721,0.6011,0.2669
0.38,177.6667,171.6667,167.4444,173.4444,10.0618,-0.0789,0.6014,0.2669
0.39,184.3333,178.3333,174.2222,180.2222,10.0618,-0.0876,0.6019,0.2669
0.4,191,185,181,187,10.0618,-0.0981,0.6024,0.2669
0.41,239,234,231,235,10.0617,-0.11,0.6029,0.2669
0.42,233.3333,228.7778,225.7778,229.4444,10.0614,-0.1231,0.6035,0.2669
0.43,227.6667,223.5556,220.5556,223.8889,10.0612,-0.1372,0.6041,0.2642
0.44,222,218.3333,215.3333,218.3333,10.061,-0.152,0.6047,0.2642
0.45,216.3333,213.1111,210.1111,212.7778,10.0608,-0.1654,0.6046,0.2642
0.46,210.6667,207.8889,204.8889,207.2222,10.0605,-0.1776,0.6039,0.2642
0.47,205,202.6667,199.6667,201.6667,10.0603,-0.1887,0.6025,0.2642
0.48,199.3333,197.4444,194.4444,196.1111,10.0601,-0.1986,0.6006,0.2642
0.49,193.6667,192.2222,189.2222,190.5556,10.0598,-0.2074,0.5983,0.2642
0.5,188,187,184,185,10.0596,-0.2153,0.5958,0.2642
0.51,239,237,230,231,10.0595,-0.2223,0.593,0.2642
0.52,233.6667,231.5556,225.1111,226.1111,10.0594,-0.2283,0.59,0.2642
0.53,228.3333,226.1111,220.2222,221.2222,10.0593,-0.2336,0.587,0.2642
0.54,223,220.6667,215.3333,216.3333,10.0591,-0.2382,0.584,0.2642
