Time,M1_RR,M2_RL,M3_FR,M4_FL,V_Batt,Pitch,Roll,Altitude
0.0000,236.0000,236.0000,232.0000,234.0000,10.0650,0.0000,0.0000,0.0000
0.0100,236.0000,236.0000,232.0000,234.0000,10.0650,0.0000,0.0000,0.2669
0.0200,174.5556,178.2222,174.0000,171.8889,10.0638,0.0000,0.0000,0.2722
0.0300,180.7778,185.1111,181.0000,178.4444,10.0638,0.0000,0.0000,0.2722
0.0400,187.0000,192.0000,188.0000,185.0000,10.0638,-0.0589,0.3907,0.2722
0.0500,187.0000,192.0000,188.0000,184.0000,10.0637,-0.0521,0.3958,0.2722
0.0600,187.3333,191.7778,187.7778,184.2222,10.0637,-0.0454,0.4025,0.2722
0.0700,187.6667,191.5556,187.5556,184.4444,10.0636,-0.0381,0.4110,0.2722
0.0800,188.0000,191.3333,187.3333,184.6667,10.0636,-0.0296,0.4216,0.2722
0.0900,188.3333,191.1111,187.1111,184.8889,10.0636,-0.0208,0.4332,0.2722
0.1000,188.6667,190.8889,186.8889,185.1111,10.0635,-0.0120,0.4457,0.2722
0.1100,189.0000,190.6667,186.6667,185.3333,10.0635,-0.0032,0.4590,0.2722
0.1200,189.3333,190.4444,186.4444,185.5556,10.0635,0.0055,0.4730,0.2722
0.1300,189.6667,190.2222,186.2222,185.7778,10.0634,0.0139,0.4875,0.2722
0.1400,187.6667,191.5556,187.5556,184.4444,10.0633,0.0220,0.5026,0.2722
0.1500,188.0000,191.3333,187.3333,184.6667,10.0633,0.0294,0.5178,0.2722
0.1600,188.3333,191.1111,187.1111,184.8889,10.0632,0.0363,0.5334,0.2722
0.1700,188.6667,190.8889,186.8889,185.1111,10.0632,0.0425,0.5491,0.2722
0.1800,189.0000,190.6667,186.6667,185.3333,10.0631,0.0486,0.5656,0.2774
0.1900,189.3333,190.4444,186.4444,185.5556,10.0630,0.0545,0.5826,0.2774
0.2000,189.6667,190.2222,186.2222,185.7778,10.0630,0.0602,0.6003,0.2774
0.2100,190.0000,190.0000,186.0000,186.0000,10.0629,0.0655,0.6185,0.2774
0.2200,125.0000,131.0000,128.0000,120.0000,10.0628,0.0703,0.6370,0.2774
0.2300,137.3333,142.6667,139.7778,132.5556,10.0628,0.0745,0.6556,0.2774
0.2400,149.6667,154.3333,151.5556,145.1111,10.0628,0.0779,0.6745,0.2774
0.2500,162.0000,166.0000,163.3333,157.6667,10.0628,0.0804,0.6934,0.2774
0.2600,174.3333,177.6667,175.1111,170.2222,10.0628,0.0807,0.7104,0.2774
0.2700,186.6667,189.3333,186.8889,182.7778,10.0628,0.0791,0.7259,0.2774
0.2800,199.0000,201.0000,198.6667,195.3333,10.0627,0.0764,0.7396,0.2774
0.2900,211.3333,212.6667,210.4444,207.8889,10.0627,0.0730,0.7517,0.2722
0.3000,223.6667,224.3333,222.2222,220.4444,10.0627,0.0698,0.7621,0.2722
0.3100,236.0000,236.0000,234.0000,233.0000,10.0627,0.0674,0.7709,0.2722
0.3200,131.0000,125.0000,120.0000,126.0000,10.0618,0.0668,0.7781,0.2774
0.3300,137.6667,131.6667,126.7778,132.7778,10.0618,0.0688,0.7838,0.2774
0.3400,144.3333,138.3333,133.5556,139.5556,10.0618,0.0746,0.7882,0.2774
0.3500,151.0000,145.0000,140.3333,146.3333,10.0618,0.0850,0.7913,0.2774
0.3600,157.6667,151.6667,147.1111,153.1111,10.0618,0.0913,0.7943,0.2774
0.3700,164.3333,158.3333,153.8889,159.8889,10.0618,0.0940,0.7974,0.2774
0.3800,171.0000,165.0000,160.6667,166.6667,10.0618,0.0931,0.8005,0.2774
0.3900,177.6667,171.6667,167.4444,173.4444,10.0618,0.0891,0.8037,0.2774
