Time,M1_RR,M2_RL,M3_FR,M4_FL,V_batt,Theta,Phi,Psi,PosX,PosY,BaroAlt,LidarPulse,SetX,SetZ,SetY,SetYaw
0.430,162.0,101.0,98.0,163.0,10.43,-0.001,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.440,189.0,186.0,181.0,184.0,10.43,0.000,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.450,159.0,90.0,93.0,154.0,10.43,0.000,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.460,230.0,227.0,222.0,227.0,10.43,-0.006,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.470,192.0,184.0,182.0,183.0,10.43,-0.003,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.480,188.0,184.0,182.0,188.0,10.43,0.000,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.490,209.0,160.0,158.0,209.0,10.43,0.001,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.500,191.0,181.0,183.0,186.0,10.43,-0.005,0.001,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.510,189.0,184.0,182.0,188.0,10.43,-0.017,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.520,99.0,158.0,157.0,85.0,10.43,-0.031,-0.001,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.530,160.0,211.0,205.0,154.0,10.43,-0.026,-0.001,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.540,228.0,226.0,224.0,228.0,10.43,-0.010,-0.002,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.550,130.0,132.0,119.0,129.0,10.43,0.000,-0.001,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.560,186.0,184.0,182.0,185.0,10.43,0.003,0.001,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.570,160.0,98.0,87.0,154.0,10.42,0.001,0.001,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.580,184.0,185.0,178.0,188.0,10.42,-0.002,0.001,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.590,189.0,185.0,178.0,184.0,10.42,-0.001,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.600,210.0,159.0,157.0,208.0,10.42,0.000,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.610,210.0,159.0,157.0,208.0,10.42,0.000,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.620,192.0,183.0,180.0,183.0,10.42,0.000,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.630,231.0,227.0,221.0,227.0,10.42,0.000,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.640,192.0,183.0,184.0,187.0,10.42,0.000,0.000,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.650,136.0,129.0,120.0,129.0,10.42,0.000,0.000,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.660,189.0,183.0,180.0,188.0,10.42,0.000,0.000,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.670,190.0,183.0,180.0,188.0,10.42,-0.007,0.001,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.680,212.0,162.0,154.0,206.0,10.42,-0.017,-0.001,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.690,212.0,158.0,159.0,206.0,10.42,-0.008,-0.002,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.700,191.0,182.0,179.0,189.0,10.42,-0.001,-0.001,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.710,194.0,180.0,181.0,188.0,10.42,0.002,0.000,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.720,191.0,182.0,179.0,189.0,10.42,0.001,0.001,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.730,192.0,182.0,179.0,190.0,10.42,0.000,0.000,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.740,211.0,160.0,158.0,209.0,10.42,0.000,0.000,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.750,138.0,119.0,120.0,130.0,10.42,0.000,0.000,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.760,230.0,221.0,222.0,233.0,10.42,0.000,0.000,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.770,192.0,181.0,179.0,190.0,10.41,0.000,0.000,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.780,136.0,115.0,123.0,133.0,10.41,0.000,0.000,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.790,191.0,180.0,177.0,189.0,10.41,0.000,0.000,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.800,191.0,175.0,181.0,189.0,10.41,0.003,0.001,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.810,235.0,220.0,222.0,228.0,10.41,0.003,0.001,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.820,101.0,154.0,161.0,83.0,10.41,0.001,0.001,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.830,161.0,207.0,210.0,153.0,10.41,0.000,0.000,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.840,163.0,208.0,210.0,153.0,10.41,0.000,0.000,0.021,0.32474,-0.27914,-0.005,0.0,0.000,0.000,5.000,0.000
0.850,165.0,205.0,212.0,151.0,10.41,-0.004,-0.004,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
0.860,163.0,212.0,206.0,153.0,10.41,-0.002,-0.002,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
0.870,193.0,183.0,182.0,181.0,10.41,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
0.880,191.0,181.0,184.0,183.0,10.41,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
0.890,213.0,161.0,156.0,205.0,10.41,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
0.900,188.0,186.0,180.0,188.0,10.41,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
0.910,231.0,225.0,224.0,227.0,10.41,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
0.920,131.0,129.0,121.0,131.0,10.40,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
0.930,190.0,183.0,182.0,186.0,10.40,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
0.940,213.0,163.0,156.0,205.0,10.40,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
0.950,193.0,181.0,183.0,185.0,10.40,-0.004,-0.001,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
0.960,190.0,183.0,181.0,187.0,10.40,-0.001,-0.001,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
0.970,194.0,180.0,183.0,185.0,10.40,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
0.980,194.0,180.0,183.0,185.0,10.40,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
0.990,194.0,180.0,183.0,185.0,10.40,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
1.000,194.0,180.0,183.0,185.0,10.40,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
1.010,135.0,122.0,121.0,129.0,10.40,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
1.020,250.0,201.0,208.0,246.0,10.40,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
1.030,194.0,181.0,180.0,189.0,10.40,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
1.040,212.0,160.0,159.0,208.0,10.40,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
1.050,195.0,180.0,179.0,190.0,10.40,0.000,0.000,0.021,0.32475,-0.27921,-0.005,0.0,0.000,0.000,5.000,0.000
1.060,193.0,178.0,181.0,192.0,10.40,0.002,-0.004,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.070,233.0,219.0,223.0,233.0,10.40,-0.001,-0.009,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.080,195.0,175.0,184.0,190.0,10.40,-0.006,-0.016,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.090,194.0,177.0,181.0,194.0,10.40,-0.003,-0.014,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.100,212.0,160.0,160.0,209.0,10.39,0.000,-0.005,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.110,141.0,112.0,124.0,135.0,10.39,0.005,0.003,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.120,236.0,220.0,220.0,232.0,10.39,0.013,0.008,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.130,199.0,177.0,181.0,191.0,10.39,0.014,0.010,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.140,197.0,179.0,179.0,193.0,10.39,0.007,0.005,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.150,161.0,209.0,214.0,161.0,10.39,0.001,0.001,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.160,141.0,119.0,119.0,135.0,10.39,-0.008,-0.005,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.170,236.0,221.0,222.0,231.0,10.39,-0.019,-0.015,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.180,196.0,180.0,180.0,192.0,10.39,-0.025,-0.021,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.190,196.0,180.0,181.0,192.0,10.39,-0.018,-0.018,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.200,198.0,183.0,179.0,189.0,10.39,-0.004,-0.006,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.210,164.0,211.0,211.0,158.0,10.39,0.006,0.004,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.220,198.0,184.0,179.0,188.0,10.39,0.013,0.013,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
1.230,236.0,224.0,221.0,228.0,10.39,0.014,0.015,0.021,0.32482,-0.27926,-0.005,0.0,0.000,0.000,5.000,0.000
