Time,M1_RR,M2_RL,M3_FR,M4_FL,V_batt,Theta,Phi,Psi,PosX,PosY,BaroAlt,LidarPulse,SetX,SetZ,SetY,SetYaw
17.700,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.710,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.720,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.730,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.740,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.750,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.760,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.770,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.780,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.790,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.800,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.810,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.820,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.830,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.840,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.850,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.860,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.870,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.880,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.890,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.900,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.910,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.920,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.930,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.940,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.950,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.960,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.970,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.980,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
17.990,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.000,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.010,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.020,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.030,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.040,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.050,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.060,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.070,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.080,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.090,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.100,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.110,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.120,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.130,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.140,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.150,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.160,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.170,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.180,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.190,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.200,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.210,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.220,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.230,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.240,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.250,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.260,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.270,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.280,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.290,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.300,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.310,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.320,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.330,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.340,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.350,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.360,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.370,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.380,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.390,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.400,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.410,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.420,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.430,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.440,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.450,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.460,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.470,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.480,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.490,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.500,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.510,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.520,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.530,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.540,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.550,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.560,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.570,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.580,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.590,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.600,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.610,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.620,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.630,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.640,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.650,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.660,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.670,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.680,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.690,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.700,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.710,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.720,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.730,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.740,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.750,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.760,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.770,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.780,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.790,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.800,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.810,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.820,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.830,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.840,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.850,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.860,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.870,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.880,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.890,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.900,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.910,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.920,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.930,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.940,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.950,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.960,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.970,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.980,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
18.990,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.000,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.010,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.020,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.030,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.040,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.050,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.060,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.070,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.080,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.090,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.100,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.110,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.120,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.130,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.140,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.150,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.160,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.170,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.180,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.190,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.200,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.210,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.220,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.230,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.240,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.250,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.260,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.270,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.280,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.290,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.300,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.310,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.320,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.330,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.340,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.350,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.360,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.370,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.380,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.390,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.400,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.410,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.420,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.430,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.440,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.450,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.460,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.470,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.480,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.490,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.500,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.510,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.520,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.530,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.540,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.550,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.560,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.570,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.580,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
19.590,235.0,173.0,188.0,223.0,10.28,8.967,179.847,-0.409,-1.23293,-0.37343,0.822,0.0,0.000,0.000,5.000,0.000
